corp_code,stock_code,corp_name,market,sector,fiscal_year,n_annual_report_filings,has_annual_report_in_dart_universe
01323032,381970,케이카,KOSPI,자동차 판매업,2023,2.0,True
01323032,381970,케이카,KOSPI,자동차 판매업,2024,1.0,True
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2018,,False
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2019,,False
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2020,1.0,True
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2021,1.0,True
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2022,1.0,True
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2023,1.0,True
01390344,329180,HD현대중공업,KOSPI,선박 및 보트 건조업,2024,1.0,True
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2018,,False
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2019,,False
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2020,,False
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2021,1.0,True
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2022,2.0,True
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2023,1.0,True
00972503,271940,일진하이솔루스,KOSPI,그외 기타 운송장비 제조업,2024,1.0,True
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2018,,False
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2019,,False
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2020,,False
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2021,1.0,True
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2022,1.0,True
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2023,1.0,True
00486705,139990,아주스틸,KOSPI,1차 철강 제조업,2024,3.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2018,2.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2019,1.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2020,4.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2021,2.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2022,2.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2023,1.0,True
00545716,089860,롯데렌탈,KOSPI,운송장비 임대업,2024,1.0,True
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2018,,False
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2019,,False
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2020,,False
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2021,1.0,True
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2022,1.0,True
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2023,1.0,True
00534598,372910,한컴라이프케어,KOSPI,의료용 기기 제조업,2024,2.0,True
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2018,8.0,True
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2019,4.0,True
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2020,1.0,True
00760971,259960,크래프톤,KOSPI,소프트웨어 개발 및 공급업,2021,1.0,True
