corp_code,stock_code,corp_name,market,sector,fiscal_year
01568413,383220,F&F,KOSPI,봉제의복 제조업,2021
01568413,383220,F&F,KOSPI,봉제의복 제조업,2022
01568413,383220,F&F,KOSPI,봉제의복 제조업,2023
01568413,383220,F&F,KOSPI,봉제의복 제조업,2024
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2018
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2019
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2020
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2021
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2022
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2023
01386916,361610,SK아이이테크놀로지,KOSPI,일차전지 및 이차전지 제조업,2024
01319899,302440,SK바이오사이언스,KOSPI,기초 의약물질 제조업,2018
01319899,302440,SK바이오사이언스,KOSPI,기초 의약물질 제조업,2019
01319899,302440,SK바이오사이언스,KOSPI,기초 의약물질 제조업,2020
01319899,302440,SK바이오사이언스,KOSPI,기초 의약물질 제조업,2021
01319899,302440,SK바이오사이언스,KOSPI,기초 의약물질 제조업,2022
01319899,302440,SK바이오사이언스,KOSPI,기초 의약물질 제조업,2023
