corp_code,stock_code,corp_name,market,sector,fiscal_year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy,LogCorrectionCount,MaterialCorrectionCount,MaterialKeywordHits,MaterialCorrectionDummy
01762569,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업,2024,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2018,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2019,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2020,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2021,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2022,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2023,0,,,0,0.0,0,0,0
01760738,456040,OCI,KOSPI,기초 화학물질 제조업,2024,0,,,0,0.0,0,0,0
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2018,0,,,0,0.0,0,0,0
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2019,0,,,0,0.0,0,0,0
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2020,0,,,0,0.0,0,0,0
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2021,0,,,0,0.0,0,0,0
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2022,1,20230831,20230831,1,0.6931471805599453,1,29,1
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2023,0,,,0,0.0,0,0,0
00480367,100090,SK오션플랜트,KOSPI,1차 철강 제조업,2024,2,20250515,20250814,1,1.0986122886681098,1,29,1
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2018,0,,,0,0.0,0,0,0
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2019,0,,,0,0.0,0,0,0
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2020,0,,,0,0.0,0,0,0
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2021,0,,,0,0.0,0,0,0
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2022,0,,,0,0.0,0,0,0
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2023,0,,,0,0.0,0,0,0
01721809,453340,현대그린푸드,KOSPI,종합 소매업,2024,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2018,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2019,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2020,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2021,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2022,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2023,0,,,0,0.0,0,0,0
01722437,452260,한화갤러리아,KOSPI,종합 소매업,2024,0,,,0,0.0,0,0,0
00622787,377740,바이오노트,KOSPI,의료용품 및 기타 의약 관련제품 제조업,2018,0,,,0,0.0,0,0,0
