model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M2_governance,"C(sector)[T.골판지, 종이 상자 및 종이용기 제조업]",0.03644987827220685,0.12676812380908647,0.287531890328365,0.7737050874008898,3193.0,,0.0364,(0.1268)
M2_governance,C(sector)[T.광고업],0.1563067461862499,0.09560592441996642,1.6349064886360398,0.10206865205247426,3193.0,,0.1563,(0.0956)
M2_governance,"C(sector)[T.구조용 금속제품, 탱크 및 증기발생기 제조업]",-0.03734384927636911,0.09534916033617666,-0.39165367733396167,0.695314121137816,3193.0,,-0.0373,(0.0953)
M2_governance,C(sector)[T.귀금속 및 장신용품 제조업],-0.18121670510443205,0.06618659058602594,-2.7379670640217655,0.006182026683506518,3193.0,***,-0.1812***,(0.0662)
M2_governance,C(sector)[T.그외 기타 개인 서비스업],0.08407439999698646,0.06824560167430978,1.231938732084404,0.21797197161547444,3193.0,,0.0841,(0.0682)
M2_governance,C(sector)[T.그외 기타 운송장비 제조업],0.05969218846893427,0.09584716673584043,0.6227851119840497,0.5334257431331109,3193.0,,0.0597,(0.0958)
M2_governance,C(sector)[T.금속 주조업],0.17178308538022774,0.06421416551401428,2.6751587286879452,0.007469387660247091,3193.0,***,0.1718***,(0.0642)
M2_governance,C(sector)[T.기계장비 및 관련 물품 도매업],-0.02107734598583772,0.08268719057222516,-0.2549046090449426,0.7987967763341577,3193.0,,-0.0211,(0.0827)
M2_governance,C(sector)[T.기반조성 및 시설물 축조관련 전문공사업],-0.006091243597852639,0.06459819355280713,-0.09429433336821137,0.9248753511774042,3193.0,,-0.0061,(0.0646)
M2_governance,C(sector)[T.기초 의약물질 제조업],-0.10593913745941513,0.07489895643137827,-1.414427416708744,0.15723644487834051,3193.0,,-0.1059,(0.0749)
M2_governance,C(sector)[T.기초 화학물질 제조업],0.0326327946010959,0.07926971205160617,0.4116678836912048,0.6805828680440897,3193.0,,0.0326,(0.0793)
M2_governance,C(sector)[T.기타 금속 가공제품 제조업],0.0715918963258835,0.16185498312438143,0.4423212368498223,0.658256765413045,3193.0,,0.0716,(0.1619)
M2_governance,C(sector)[T.기타 비금속 광물제품 제조업],-0.218713129829902,0.07291558151416676,-2.999538991366451,0.002703885130867787,3193.0,***,-0.2187***,(0.0729)
M2_governance,C(sector)[T.기타 사업지원 서비스업],-0.12375596908789,0.06680624133952673,-1.8524611863572733,0.06395962613050848,3193.0,*,-0.1238*,(0.0668)
M2_governance,C(sector)[T.기타 상품 전문 소매업],0.04823819675477964,0.06781200148271443,0.7113519096922063,0.47686619164414223,3193.0,,0.0482,(0.0678)
