corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year
01190568,에이피알,278470,Y,분기보고서 (2021.03),20210517000110,에이피알,20210517,,2020,2021
01190568,에이피알,278470,Y,사업보고서 (2020.12),20210331000895,에이피알,20210331,연,2020,2021
01190568,에이피알,278470,Y,분기보고서 (2022.09),20221114000470,에이피알,20221114,,2021,2022
01190568,에이피알,278470,Y,[기재정정]반기보고서 (2022.06),20220817000173,에이피알,20220817,,2021,2022
01190568,에이피알,278470,Y,반기보고서 (2022.06),20220816001642,에이피알,20220816,정,2021,2022
01190568,에이피알,278470,Y,분기보고서 (2022.03),20220516002594,에이피알,20220516,,2021,2022
01190568,에이피알,278470,Y,사업보고서 (2021.12),20220331002148,에이피알,20220331,연,2021,2022
01190568,에이피알,278470,Y,분기보고서 (2023.09),20231114001221,에이피알,20231114,,2022,2023
01190568,에이피알,278470,Y,반기보고서 (2023.06),20230814002584,에이피알,20230814,,2022,2023
01190568,에이피알,278470,Y,분기보고서 (2023.03),20230515000887,에이피알,20230515,,2022,2023
01190568,에이피알,278470,Y,사업보고서 (2022.12),20230329001036,에이피알,20230329,연,2022,2023
01190568,에이피알,278470,Y,분기보고서 (2024.09),20241114002863,에이피알,20241114,,2023,2024
01190568,에이피알,278470,Y,반기보고서 (2024.06),20240814001778,에이피알,20240814,,2023,2024
01190568,에이피알,278470,Y,분기보고서 (2024.03),20240514001525,에이피알,20240514,,2023,2024
01190568,에이피알,278470,Y,사업보고서 (2023.12),20240321000964,에이피알,20240321,연,2023,2024
01190568,에이피알,278470,Y,분기보고서 (2025.09),20251114002319,에이피알,20251114,,2024,2025
01190568,에이피알,278470,Y,반기보고서 (2025.06),20250814001828,에이피알,20250814,,2024,2025
01190568,에이피알,278470,Y,분기보고서 (2025.03),20250515001164,에이피알,20250515,,2024,2025
01190568,에이피알,278470,Y,사업보고서 (2024.12),20250321001576,에이피알,20250321,연,2024,2025
00398701,엘앤에프,066970,Y,분기보고서 (2019.09),20191113000408,엘앤에프,20191113,,2018,2019
00398701,엘앤에프,066970,Y,반기보고서 (2019.06),20190809000404,엘앤에프,20190809,,2018,2019
00398701,엘앤에프,066970,Y,분기보고서 (2019.03),20190509000394,엘앤에프,20190509,,2018,2019
00398701,엘앤에프,066970,Y,사업보고서 (2018.12),20190329003209,엘앤에프,20190329,연,2018,2019
00398701,엘앤에프,066970,Y,분기보고서 (2020.09),20201113000882,엘앤에프,20201113,,2019,2020
00398701,엘앤에프,066970,Y,반기보고서 (2020.06),20200814002200,엘앤에프,20200814,,2019,2020
00398701,엘앤에프,066970,Y,분기보고서 (2020.03),20200511000115,엘앤에프,20200511,,2019,2020
00398701,엘앤에프,066970,Y,사업보고서 (2019.12),20200326000817,엘앤에프,20200326,연,2019,2020
00398701,엘앤에프,066970,Y,분기보고서 (2021.09),20211112000082,엘앤에프,20211112,,2020,2021
00398701,엘앤에프,066970,Y,반기보고서 (2021.06),20210813001164,엘앤에프,20210813,,2020,2021
00398701,엘앤에프,066970,Y,분기보고서 (2021.03),20210514001479,엘앤에프,20210514,,2020,2021
00398701,엘앤에프,066970,Y,사업보고서 (2020.12),20210309000400,엘앤에프,20210309,연,2020,2021
00398701,엘앤에프,066970,Y,분기보고서 (2022.09),20221109000072,엘앤에프,20221109,,2021,2022
00398701,엘앤에프,066970,Y,반기보고서 (2022.06),20220816000384,엘앤에프,20220816,,2021,2022
00398701,엘앤에프,066970,Y,분기보고서 (2022.03),20220516000052,엘앤에프,20220516,,2021,2022
00398701,엘앤에프,066970,Y,사업보고서 (2021.12),20220315000434,엘앤에프,20220315,연,2021,2022
00398701,엘앤에프,066970,Y,분기보고서 (2023.09),20231113000680,엘앤에프,20231113,,2022,2023
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2022.12),20230828000596,엘앤에프,20230828,연,2022,2023
00398701,엘앤에프,066970,Y,반기보고서 (2023.06),20230811002052,엘앤에프,20230811,,2022,2023
00398701,엘앤에프,066970,Y,[기재정정]분기보고서 (2023.03),20230511000215,엘앤에프,20230511,,2022,2023
00398701,엘앤에프,066970,Y,분기보고서 (2023.03),20230510000306,엘앤에프,20230510,정,2022,2023
00398701,엘앤에프,066970,Y,사업보고서 (2022.12),20230314001151,엘앤에프,20230314,정연,2022,2023
00398701,엘앤에프,066970,Y,분기보고서 (2024.09),20241114001431,엘앤에프,20241114,,2023,2024
00398701,엘앤에프,066970,Y,반기보고서 (2024.06),20240814003843,엘앤에프,20240814,,2023,2024
00398701,엘앤에프,066970,Y,분기보고서 (2024.03),20240516001141,엘앤에프,20240516,,2023,2024
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2023.12),20240328001260,엘앤에프,20240328,연,2023,2024
00398701,엘앤에프,066970,Y,사업보고서 (2023.12),20240312000986,엘앤에프,20240312,정연,2023,2024
00398701,엘앤에프,066970,Y,분기보고서 (2025.09),20251114000795,엘앤에프,20251114,,2024,2025
00398701,엘앤에프,066970,Y,반기보고서 (2025.06),20250814002485,엘앤에프,20250814,,2024,2025
00398701,엘앤에프,066970,Y,분기보고서 (2025.03),20250515002365,엘앤에프,20250515,,2024,2025
00398701,엘앤에프,066970,Y,사업보고서 (2024.12),20250311001260,엘앤에프,20250311,연,2024,2025
00155212,포스코DX,022100,Y,분기보고서 (2019.09),20191114000966,포스코DX,20191114,,2018,2019
00155212,포스코DX,022100,Y,반기보고서 (2019.06),20190814002095,포스코DX,20190814,,2018,2019
00155212,포스코DX,022100,Y,분기보고서 (2019.03),20190515000903,포스코DX,20190515,,2018,2019
00155212,포스코DX,022100,Y,사업보고서 (2018.12),20190329003165,포스코DX,20190329,연,2018,2019
00155212,포스코DX,022100,Y,분기보고서 (2020.09),20201113001162,포스코DX,20201113,,2019,2020
00155212,포스코DX,022100,Y,반기보고서 (2020.06),20200813000330,포스코DX,20200813,,2019,2020
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2020.03),20200518000187,포스코DX,20200518,,2019,2020
00155212,포스코DX,022100,Y,분기보고서 (2020.03),20200514001141,포스코DX,20200514,정,2019,2020
00155212,포스코DX,022100,Y,사업보고서 (2019.12),20200325000784,포스코DX,20200325,연,2019,2020
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2021.09),20211207000324,포스코DX,20211207,,2020,2021
00155212,포스코DX,022100,Y,분기보고서 (2021.09),20211115002126,포스코DX,20211115,정,2020,2021
00155212,포스코DX,022100,Y,반기보고서 (2021.06),20210813001034,포스코DX,20210813,,2020,2021
00155212,포스코DX,022100,Y,분기보고서 (2021.03),20210514001026,포스코DX,20210514,,2020,2021
00155212,포스코DX,022100,Y,사업보고서 (2020.12),20210305000693,포스코DX,20210305,연,2020,2021
00155212,포스코DX,022100,Y,분기보고서 (2022.09),20221111000468,포스코DX,20221111,,2021,2022
00155212,포스코DX,022100,Y,반기보고서 (2022.06),20220812000385,포스코DX,20220812,,2021,2022
00155212,포스코DX,022100,Y,분기보고서 (2022.03),20220513001030,포스코DX,20220513,,2021,2022
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2021.12),20220504000292,포스코DX,20220504,연,2021,2022
00155212,포스코DX,022100,Y,사업보고서 (2021.12),20220311000948,포스코DX,20220311,정연,2021,2022
00155212,포스코DX,022100,Y,분기보고서 (2023.09),20231114001646,포스코DX,20231114,,2022,2023
00155212,포스코DX,022100,Y,[기재정정]반기보고서 (2023.06),20230921000141,포스코DX,20230921,,2022,2023
