corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year,is_correction
00453284,교촌에프앤비,339770,Y,[기재정정]사업보고서 (2024.12),20250324000180,교촌에프앤비,20250324,연,2024,2025,1
01204056,하이브,352820,Y,[기재정정]사업보고서 (2022.12),20230403004275,하이브,20230403,연,2022,2023,1
01204056,하이브,352820,Y,[기재정정]사업보고서 (2023.12),20240322001002,하이브,20240322,연,2023,2024,1
01428203,케이씨씨글라스,344820,Y,[기재정정]사업보고서 (2021.12),20220713000282,케이씨씨글라스,20220713,연,2021,2022,1
01428203,케이씨씨글라스,344820,Y,[기재정정]사업보고서 (2021.12),20220318000967,케이씨씨글라스,20220318,정연,2021,2022,1
01428203,케이씨씨글라스,344820,Y,[기재정정]사업보고서 (2023.12),20240328001643,케이씨씨글라스,20240328,연,2023,2024,1
00450010,씨티알모빌리티,308170,Y,[기재정정]사업보고서 (2021.12),20220412002470,씨티알모빌리티,20220412,연,2021,2022,1
00450010,씨티알모빌리티,308170,Y,[기재정정]사업보고서 (2022.12),20230710000268,씨티알모빌리티,20230710,연,2022,2023,1
00450010,씨티알모빌리티,308170,Y,[기재정정]사업보고서 (2024.12),20250319000632,씨티알모빌리티,20250319,연,2024,2025,1
01199550,HD현대에너지솔루션,322000,Y,[기재정정]사업보고서 (2019.12),20200514001143,HD현대에너지솔루션,20200514,연,2019,2020,1
01199550,HD현대에너지솔루션,322000,Y,[첨부정정]사업보고서 (2020.12),20210331002946,HD현대에너지솔루션,20210331,연,2020,2021,1
01199550,HD현대에너지솔루션,322000,Y,[기재정정]사업보고서 (2021.12),20220318001065,HD현대에너지솔루션,20220318,연,2021,2022,1
01199550,HD현대에너지솔루션,322000,Y,[기재정정]사업보고서 (2024.12),20250317000724,HD현대에너지솔루션,20250317,연,2024,2025,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2020.12),20210511000265,한화시스템,20210511,연,2020,2021,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2021.12),20220516000217,한화시스템,20220516,연,2021,2022,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2021.12),20220316001020,한화시스템,20220316,정연,2021,2022,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2022.12),20230411001656,한화시스템,20230411,연,2022,2023,1
00339391,한화시스템,272210,Y,[첨부정정]사업보고서 (2022.12),20230331002782,한화시스템,20230331,정연,2022,2023,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2023.12),20240516000399,한화시스템,20240516,연,2023,2024,1
00339391,한화시스템,272210,Y,[기재정정]사업보고서 (2023.12),20240328001714,한화시스템,20240328,정연,2023,2024,1
