fiscal_year,corp_code,corp_name,stock_code,market,sector,n_annual_report_filings,n_annual_corrections,any_correction
2018,00119672,두올,016740,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00120021,LG,003550,KOSPI,기타 금융업,1,0,0
2018,00120030,GS건설,006360,KOSPI,건물 건설업,1,0,0
2018,00120076,LX인터내셔널,001120,KOSPI,상품 중개업,1,0,0
2018,00120182,NH투자증권,005940,KOSPI,금융 지원 서비스업,1,0,0
2018,00120526,롯데쇼핑,023530,KOSPI,종합 소매업,1,0,0
2018,00120562,롯데지주,004990,KOSPI,기타 금융업,2,1,1
2018,00120571,롯데칠성음료,005300,KOSPI,비알코올음료 및 얼음 제조업,1,0,0
2018,00120872,만호제강,001080,KOSPI,1차 철강 제조업,1,0,0
2018,00121039,명문제약,017180,KOSPI,의약품 제조업,2,1,1
2018,00121288,모나미,005360,KOSPI,생활용품 도매업,1,0,0
2018,00121534,MH에탄올,023150,KOSPI,알코올음료 제조업,1,0,0
2018,00121543,무학,033920,KOSPI,알코올음료 제조업,5,4,1
2018,00121570,문배철강,008420,KOSPI,1차 철강 제조업,2,1,1
2018,00121932,미원상사,002840,KOSPI,기타 화학제품 제조업,1,0,0
2018,00121941,대상,001680,KOSPI,기타 식품 제조업,1,0,0
2018,00121969,에쓰씨엔지니어링,023960,KOSPI,토목 건설업,1,0,0
2018,00122056,미창석유공업,003650,KOSPI,석유 정제품 제조업,1,0,0
2018,00122348,방림,003610,KOSPI,직물직조 및 직물제품 제조업,2,1,1
2018,00122472,PKC,001340,KOSPI,기초 화학물질 제조업,3,2,1
2018,00122481,태경비케이,014580,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00122551,백산,035150,KOSPI,플라스틱제품 제조업,1,0,0
2018,00122579,BYC,001460,KOSPI,봉제의복 제조업,1,0,0
2018,00122694,범양건영,002410,KOSPI,건물 건설업,1,0,0
2018,00122737,팬오션,028670,KOSPI,해상 운송업,1,0,0
2018,00122825,인스코비,006490,KOSPI,전기 통신업,1,0,0
2018,00122898,벽산,007210,KOSPI,기타 비금속 광물제품 제조업,1,0,0
2018,00123107,보락,002760,KOSPI,기타 화학제품 제조업,1,0,0
2018,00123143,보령,003850,KOSPI,의약품 제조업,1,0,0
2018,00123541,보해양조,000890,KOSPI,알코올음료 제조업,2,1,1
2018,00123718,부광약품,003000,KOSPI,의약품 제조업,2,1,1
2018,00123772,부국증권,001270,KOSPI,금융 지원 서비스업,1,0,0
2018,00123781,부국철강,026940,KOSPI,1차 철강 제조업,2,1,1
2018,00124027,부산산업,011390,KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",1,0,0
2018,00124090,한국특강,007280,KOSPI,1차 철강 제조업,1,0,0
2018,00124151,부산주공,005030,KOSPI,자동차 신품 부품 제조업,2,1,1
2018,00124197,세아제강지주,003030,KOSPI,기타 금융업,2,1,1
2018,00124504,포스코인터내셔널,047050,KOSPI,상품 중개업,1,0,0
2018,00124540,대우건설,047040,KOSPI,건물 건설업,1,0,0
2018,00124726,빙그레,005180,KOSPI,동·식물성 유지 및 낙농제품 제조업,1,0,0
2018,00124780,사조씨푸드,014710,KOSPI,수산물 가공 및 저장 처리업,1,0,0
2018,00124799,사조산업,007160,KOSPI,수산물 가공 및 저장 처리업,1,0,0
2018,00125080,AK홀딩스,006840,KOSPI,기타 금융업,1,0,0
2018,00125150,SGC에너지,005090,KOSPI,전기업,1,0,0
2018,00125521,에스엘,005850,KOSPI,자동차 신품 부품 제조업,13,12,1
2018,00125530,삼립,005610,KOSPI,기타 식품 제조업,1,0,0
2018,00125576,체시스,033250,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00125743,현대비앤지스틸,004560,KOSPI,1차 철강 제조업,1,0,0
2018,00125974,삼부토건,001470,KOSPI,토목 건설업,2,1,1
2018,00126089,DH오토넥스,000300,KOSPI,신탁업 및 집합투자업,1,0,0
2018,00126186,삼성에스디에스,018260,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0,0
2018,00126201,삼성공조,006660,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00126256,삼성생명,032830,KOSPI,보험업,1,0,0
