corp_code,corp_name,year,rcept_no,rcept_dt,report_nm,MaterialCorrection,MaterialKeywordHits,MaterialKeywords
01010110,더블유게임즈,2018,20180605000381,20180605,[기재정정]사업보고서 (2017.12),0,0,
00651901,에어부산,2019,20190402000257,20190402,[기재정정]사업보고서 (2018.12),0,0,
00651901,에어부산,2023,20230831001169,20230831,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00651901,에어부산,2024,20240731000599,20240731,[기재정정]사업보고서 (2019.12),1,28,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00651901,에어부산,2024,20240731000521,20240731,[기재정정]사업보고서 (2018.12),1,28,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00458234,아시아나IDT,2019,20190516000059,20190516,[기재정정]사업보고서 (2018.12),0,0,
00458234,아시아나IDT,2019,20190402000723,20190402,[기재정정]사업보고서 (2018.12),0,0,
00458234,아시아나IDT,2023,20230719000433,20230719,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00248974,하나제약,2022,20220331002435,20220331,[기재정정]사업보고서 (2021.12),0,0,
00248974,하나제약,2023,20230712000281,20230712,[기재정정]사업보고서 (2022.12),1,28,감사용역|감사위원|감사의견|감사인|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00143262,우진아이엔에스,2022,20220812000678,20220812,[기재정정]사업보고서 (2021.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01319808,한일시멘트,2020,20200401002489,20200401,[기재정정]사업보고서 (2019.12),0,0,
00671376,트리니티항공,2021,20210601000044,20210601,[기재정정]사업보고서 (2020.12),0,0,
01262032,롯데이노베이트,2022,20220314001163,20220314,[기재정정]사업보고서 (2021.12),0,0,
01316254,HS효성첨단소재,2020,20200330004579,20200330,[기재정정]사업보고서 (2019.12),0,0,
01316245,효성중공업,2019,20190618000136,20190618,[기재정정]사업보고서 (2018.12),0,0,
01316245,효성중공업,2022,20220727000309,20220727,[기재정정]사업보고서 (2021.12),0,0,
01316245,효성중공업,2023,20230309000420,20230309,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01316245,효성중공업,2024,20240315000877,20240315,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01310269,IPARK현대산업개발,2019,20190814000224,20190814,[기재정정]사업보고서 (2018.12),0,0,
01310269,IPARK현대산업개발,2020,20200630000680,20200630,[기재정정]사업보고서 (2019.12),0,0,
01310269,IPARK현대산업개발,2020,20200630000654,20200630,[기재정정]사업보고서 (2018.12),0,0,
01310269,IPARK현대산업개발,2023,20230713000082,20230713,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
01310269,IPARK현대산업개발,2024,20240401002733,20240401,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사
00139454,애경산업,2019,20190702000212,20190702,[기재정정]사업보고서 (2018.12),0,0,
00413046,셀트리온,2018,20180720000460,20180720,[기재정정]사업보고서 (2017.12),0,0,
