estimator,theta,se,ci_low,ci_high,J_hat,score_sd,top1_share,top05_share,ess,tau,q,bias_proxy,notes,true_theta,bias,rmse_component,covered,tail,contamination,weak_overlap,nonlinear,rep
outcome_winsorized_dml,0.601588464240526,0.06818835105292056,0.46794175201162785,0.7352351764694243,-0.1801263854658583,0.4757000008043095,0.06038707635812849,0.0320547871311787,719.3875254859086,,,,Standard orthogonal-score DML.,0.5,0.10158846424052603,0.010320216066748636,1,normal,0.0,True,True,11
covariate_winsorized_dml,0.6128377119294379,0.07098539164328947,0.47370890088012,0.7519665229787558,-0.17951368896359282,0.49352843960292014,0.06832982830170152,0.039513054659134926,675.2766899060546,,,,Standard orthogonal-score DML.,0.5,0.11283771192943792,0.012732349233470818,1,normal,0.0,True,True,11
score_clipped_dml_q0.95,0.5997549068310678,0.07151598353263303,0.45958615478814746,0.7399236588739881,-0.15380429665724576,0.42600746880665974,0.03280394544775771,0.015308507875620261,815.4737795277887,1.0300489229914915,0.95,0.020293253576212894,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.0997549068310678,0.009951041436875018,1,normal,0.0,True,True,11
score_clipped_dml_q0.97,0.6031287687705944,0.06912865158574276,0.4676391013627209,0.7386184361784679,-0.16465368076822526,0.44083407722174,0.036700675302650414,0.017126981807903528,790.3145202079393,1.1739747394867128,0.97,0.014463826074658815,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.1031287687705944,0.010635542948138727,1,normal,0.0,True,True,11
score_clipped_dml_q0.99,0.6029728830359224,0.06834322779542736,0.46902261796966804,0.7369231481021769,-0.17403002299223164,0.46064386706884813,0.04727014349793316,0.022059400299035484,754.5446150243262,1.543846912107456,0.99,0.00775754575200165,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10297288303592245,0.010603414640729765,1,normal,0.0,True,True,11
score_clipped_dml_q0.995,0.60476012263767,0.0691885993876172,0.4691529596971702,0.7403672855781698,-0.17659430878367444,0.4732132232067881,0.05699054015447032,0.028081141431525753,729.8673292115537,1.985621044519608,0.995,0.004372632215370715,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.10476012263766998,0.010974683295059654,1,normal,0.0,True,True,11
score_clipped_dml_q0.999,0.6180537050819882,0.07076107611118718,0.4793645443967638,0.7567428657672126,-0.17903041269809647,0.49064442808226844,0.06613221955959483,0.03746311773761762,692.7027295177261,3.5584211753057,0.999,0.0011451962247641483,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.1180537050819882,0.013936677283585048,1,normal,0.0,True,True,11
standard_dml,0.45938984397369625,0.07073394047705459,0.32075386815406937,0.5980258197933231,-0.18482150087098057,0.5063210401210322,0.07221489891095152,0.04153640702371809,663.5654976348934,,,,Standard orthogonal-score DML.,0.5,-0.040610156026303745,0.0016491847724807345,1,normal,0.0,True,True,12
outcome_winsorized_dml,0.45481381356093054,0.06997237990105895,0.3176704690423007,0.5919571580795604,-0.18482150087098057,0.5008697088315168,0.07149038452567316,0.04056260306612381,669.5031929894146,,,,Standard orthogonal-score DML.,0.5,-0.045186186439069465,0.002041791444906345,1,normal,0.0,True,True,12
covariate_winsorized_dml,0.45111882436274775,0.07077316031215927,0.31240597907883605,0.5898316696466595,-0.18445439932806146,0.5055955425180704,0.07224497557646574,0.041375306508701366,661.6829809351665,,,,Standard orthogonal-score DML.,0.5,-0.04888117563725225,0.002389369331679903,1,normal,0.0,True,True,12
