rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20230329001036,Y,01190568,에이피알,제9기(당기),현대회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,해당사항 없음
20230329001036,Y,01190568,에이피알,제8기(전기),현대회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,해당사항 없음
20230329001036,Y,01190568,에이피알,제7기(전전기),현대회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,해당사항 없음
20240321000964,Y,01190568,에이피알,제10기(당기),안진회계법인,적정,-,2023-12-31,2023,auditor_opinion,"(주)
전기 오류수정사항",해당사항 없음
20240321000964,Y,01190568,에이피알,제9기(전기),현대회계법인,적정,-,2023-12-31,2023,auditor_opinion,해당사항 없음,해당사항 없음
20240321000964,Y,01190568,에이피알,제8기(전전기),현대회계법인,적정,-,2023-12-31,2023,auditor_opinion,해당사항 없음,해당사항 없음
20250321001576,Y,01190568,에이피알,"제11기
(당기)",현대회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250321001576,Y,01190568,에이피알,"제11기
(당기)",현대회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250321001576,Y,01190568,에이피알,"제10기
(전기)",안진회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,(주1),해당사항 없음
20250321001576,Y,01190568,에이피알,"제10기
(전기)",안진회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250321001576,Y,01190568,에이피알,"제9기
(전전기)",현대회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20250321001576,Y,01190568,에이피알,"제9기
(전전기)",현대회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,해당사항 없음,해당사항 없음
20190329003209,Y,00398701,엘앤에프,제19기(당기),경신회계법인,적정,주1),2018-12-31,2018,auditor_opinion,,
20190329003209,Y,00398701,엘앤에프,제18기(전기),삼일회계법인,적정,주2),2018-12-31,2018,auditor_opinion,,
20190329003209,Y,00398701,엘앤에프,제17기(전전기),안경회계법인,적정,주3),2018-12-31,2018,auditor_opinion,,
20200326000817,Y,00398701,엘앤에프,제20기(당기),선일회계법인,적정,-,2019-12-31,2019,auditor_opinion,,주1)
20200326000817,Y,00398701,엘앤에프,제19기(전기),경신회계법인,적정,-,2019-12-31,2019,auditor_opinion,,주2)
20200326000817,Y,00398701,엘앤에프,제18기(전전기),삼일회계법인,적정,-,2019-12-31,2019,auditor_opinion,,주3)
20210309000400,Y,00398701,엘앤에프,제21기(당기),선일회계법인,적정,-,2020-12-31,2020,auditor_opinion,,주1)
20210309000400,Y,00398701,엘앤에프,제20기(전기),선일회계법인,적정,-,2020-12-31,2020,auditor_opinion,,주2)
20210309000400,Y,00398701,엘앤에프,제19기(전전기),경신회계법인,적정,-,2020-12-31,2020,auditor_opinion,,주3)
20220315000434,Y,00398701,엘앤에프,제22기(당기),선일회계법인,적정,-,2021-12-31,2021,auditor_opinion,,주1)
20220315000434,Y,00398701,엘앤에프,제21기(전기),선일회계법인,적정,-,2021-12-31,2021,auditor_opinion,,주2)
20220315000434,Y,00398701,엘앤에프,제20기(전전기),선일회계법인,적정,-,2021-12-31,2021,auditor_opinion,,주3)
20230828000596,Y,00398701,엘앤에프,제23기(당기),선일회계법인,적정,-,2022-12-31,2022,auditor_opinion,,주1)
20230828000596,Y,00398701,엘앤에프,제22기(전기),선일회계법인,적정,-,2022-12-31,2022,auditor_opinion,,주2)
20230828000596,Y,00398701,엘앤에프,제21기(전전기),선일회계법인,적정,-,2022-12-31,2022,auditor_opinion,,주3)
20240328001260,Y,00398701,엘앤에프,제24기(당기),선일회계법인,적정,-,2023-12-31,2023,auditor_opinion,,주1)
20240328001260,Y,00398701,엘앤에프,제23기(전기),선일회계법인,적정,-,2023-12-31,2023,auditor_opinion,,주2)
20240328001260,Y,00398701,엘앤에프,제22기(전전기),선일회계법인,적정,-,2023-12-31,2023,auditor_opinion,,주3)
20250311001260,Y,00398701,엘앤에프,"제25기
(당기)",선일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,주1)
20250311001260,Y,00398701,엘앤에프,"제25기
(당기)",선일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,주2)
20250311001260,Y,00398701,엘앤에프,"제24기
(전기)",선일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,주3)
20250311001260,Y,00398701,엘앤에프,"제24기
(전기)",선일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,주4)
20250311001260,Y,00398701,엘앤에프,"제23기
(전전기)",선일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,주5)
20250311001260,Y,00398701,엘앤에프,"제23기
(전전기)",선일회계법인,적정의견,-,2024-12-31,2024,auditor_opinion,,주6)
20190329003165,Y,00155212,포스코DX,제30기(당기),한영회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20190329003165,Y,00155212,포스코DX,제29기(전기),한영회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20190329003165,Y,00155212,포스코DX,제28기(전전기),삼일회계법인,적정,해당사항 없음,2018-12-31,2018,auditor_opinion,,
20200325000784,Y,00155212,포스코DX,제31기(당기),한영회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,- 총계약원가 추정의 불확실성- 계약변경에 대한 회계처리 
20200325000784,Y,00155212,포스코DX,제30기(전기),한영회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,- 미청구공사금액 회수가능성- 공사변경에 따른 회계처리의 적절성 관련- 총계약원가 추정의 불확실성
20200325000784,Y,00155212,포스코DX,제29기(전전기),한영회계법인,적정,-,2019-12-31,2019,auditor_opinion,해당사항 없음,- 미청구공사금액 회수가능성- 공사변경에 따른 회계처리의 적절성 관련- 총계약원가 추정의 불확실성
20210305000693,Y,00155212,포스코DX,제32기(당기),삼정회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,"- 총계약원가 추정의 불확실성
- 공사변경에 따른 회계처리의 적절성 관련"
20210305000693,Y,00155212,포스코DX,제31기(전기),한영회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,- 총계약원가 추정의 불확실성- 계약변경에 대한 회계처리 
20210305000693,Y,00155212,포스코DX,제30기(전전기),한영회계법인,적정,-,2020-12-31,2020,auditor_opinion,해당사항 없음,- 미청구공사금액 회수가능성- 공사변경에 따른 회계처리의 적절성 관련- 총계약원가 추정의 불확실성
20220504000292,Y,00155212,포스코DX,제33기(당기),삼정회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,"- 미청구공사금액 회수가능성
- 공사손실충당금 설정 검토
- 법인세 및 이연법인세 적정성 검토"
20220504000292,Y,00155212,포스코DX,제32기(전기),삼정회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,- 총계약원가 추정의 불확실성- 공사변경에 따른 회계처리의 적절성 관련
20220504000292,Y,00155212,포스코DX,제31기(전전기),한영회계법인,적정,-,2021-12-31,2021,auditor_opinion,해당사항 없음,- 총계약원가 추정의 불확실성- 계약변경에 대한 회계처리 
20230310000806,Y,00155212,포스코DX,제34기(당기),삼정회계법인,적정,-,2022-12-31,2022,auditor_opinion,해당사항 없음,"- 총계약원가 추정의 불확실성
- 공사변경으로 인한 회계처리의 적정성"
