corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year,CorrectionDummy_filing
00767460,PI첨단소재,178920,Y,사업보고서 (2022.12),20230315000084,PI첨단소재,20230315,,2023,2023,0
00767460,PI첨단소재,178920,Y,사업보고서 (2023.12),20240312000215,PI첨단소재,20240312,,2024,2024,0
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2020.12),20210514001634,에스디바이오센서,20210514,연,2021,2021,1
00854997,에스디바이오센서,137310,Y,사업보고서 (2020.12),20210331002449,에스디바이오센서,20210331,정연,2021,2021,0
00854997,에스디바이오센서,137310,Y,사업보고서 (2021.12),20220321001483,에스디바이오센서,20220321,정연,2022,2022,0
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2022.12),20230515000371,에스디바이오센서,20230515,정연,2023,2023,1
00854997,에스디바이오센서,137310,Y,사업보고서 (2022.12),20230321001475,에스디바이오센서,20230321,정연,2023,2023,0
00854997,에스디바이오센서,137310,Y,사업보고서 (2023.12),20240320001291,에스디바이오센서,20240320,정연,2024,2024,0
00564562,엠씨넥스,097520,Y,사업보고서 (2017.12),20180330001276,엠씨넥스,20180330,연,2018,2018,0
00564562,엠씨넥스,097520,Y,사업보고서 (2018.12),20190329000274,엠씨넥스,20190329,연,2019,2019,0
00564562,엠씨넥스,097520,Y,사업보고서 (2019.12),20200330004648,엠씨넥스,20200330,연,2020,2020,0
00564562,엠씨넥스,097520,Y,사업보고서 (2020.12),20210315000830,엠씨넥스,20210315,연,2021,2021,0
00564562,엠씨넥스,097520,Y,사업보고서 (2021.12),20220315000841,엠씨넥스,20220315,연,2022,2022,0
00564562,엠씨넥스,097520,Y,사업보고서 (2022.12),20230314000700,엠씨넥스,20230314,연,2023,2023,0
00564562,엠씨넥스,097520,Y,사업보고서 (2023.12),20240318000671,엠씨넥스,20240318,연,2024,2024,0
01568413,F&F,383220,Y,사업보고서 (2021.12),20220317001143,F&F,20220317,연,2022,2022,0
01568413,F&F,383220,Y,[기재정정]사업보고서 (2022.12),20230831001367,F&F,20230831,연,2023,2023,1
01568413,F&F,383220,Y,사업보고서 (2022.12),20230321001459,F&F,20230321,정연,2023,2023,0
01568413,F&F,383220,Y,사업보고서 (2023.12),20240320001667,F&F,20240320,연,2024,2024,0
01386916,SK아이이테크놀로지,361610,Y,사업보고서 (2021.12),20220318000473,SK아이이테크놀로지,20220318,연,2022,2022,0
01386916,SK아이이테크놀로지,361610,Y,[기재정정]사업보고서 (2022.12),20230814002466,SK아이이테크놀로지,20230814,연,2023,2023,1
01386916,SK아이이테크놀로지,361610,Y,사업보고서 (2022.12),20230317000887,SK아이이테크놀로지,20230317,정연,2023,2023,0
01386916,SK아이이테크놀로지,361610,Y,사업보고서 (2023.12),20240318000831,SK아이이테크놀로지,20240318,연,2024,2024,0
01319899,SK바이오사이언스,302440,Y,사업보고서 (2018.12),20190401003641,SK바이오사이언스,20190401,,2019,2019,0
01319899,SK바이오사이언스,302440,Y,[기재정정]사업보고서 (2019.12),20201127001236,SK바이오사이언스,20201127,,2020,2020,1
01319899,SK바이오사이언스,302440,Y,사업보고서 (2019.12),20200330003268,SK바이오사이언스,20200330,정,2020,2020,0
01319899,SK바이오사이언스,302440,Y,사업보고서 (2020.12),20210323000842,SK바이오사이언스,20210323,,2021,2021,0
01319899,SK바이오사이언스,302440,Y,사업보고서 (2021.12),20220316001334,SK바이오사이언스,20220316,,2022,2022,0
01319899,SK바이오사이언스,302440,Y,사업보고서 (2022.12),20230317000869,SK바이오사이언스,20230317,연,2023,2023,0
01319899,SK바이오사이언스,302440,Y,사업보고서 (2023.12),20240315000914,SK바이오사이언스,20240315,연,2024,2024,0
01532603,화승알앤에이,378850,Y,사업보고서 (2021.12),20220321000964,화승알앤에이,20220321,연,2022,2022,0
01532603,화승알앤에이,378850,Y,사업보고서 (2022.12),20230321000920,화승알앤에이,20230321,연,2023,2023,0
01532603,화승알앤에이,378850,Y,사업보고서 (2023.12),20240320000953,화승알앤에이,20240320,연,2024,2024,0
01510489,프레스티지바이오파마,950210,Y,사업보고서 (2021.06),20210916000175,프레스티지바이오파마,20210916,연,2021,2021,0
01510489,프레스티지바이오파마,950210,Y,사업보고서 (2022.06),20220920000416,프레스티지바이오파마,20220921,연,2022,2022,0
01510489,프레스티지바이오파마,950210,Y,[기재정정]사업보고서 (2023.06),20231129001041,프레스티지바이오파마,20231129,연,2023,2023,1
01510489,프레스티지바이오파마,950210,Y,사업보고서 (2023.06),20230918000309,프레스티지바이오파마,20230918,정연,2023,2023,0
01510489,프레스티지바이오파마,950210,Y,사업보고서 (2024.06),20240919000201,프레스티지바이오파마,20240919,연,2024,2024,0
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20201208000451,솔루엠,20201208,연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200904000075,솔루엠,20200904,정연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200814002594,솔루엠,20200814,정연,2020,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200814001446,솔루엠,20200814,정연,2020,2020,1
01159233,솔루엠,248070,Y,사업보고서 (2019.12),20200623000105,솔루엠,20200623,정연,2020,2020,0
