corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
00155212,포스코DX,022100,Y,사업보고서 (2020.12),20210305000693,포스코DX,20210305,연,2021,2021
00155212,포스코DX,022100,Y,분기보고서 (2022.09),20221111000468,포스코DX,20221111,,2022,2022
00155212,포스코DX,022100,Y,반기보고서 (2022.06),20220812000385,포스코DX,20220812,,2022,2022
00155212,포스코DX,022100,Y,분기보고서 (2022.03),20220513001030,포스코DX,20220513,,2022,2022
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2021.12),20220504000292,포스코DX,20220504,연,2022,2022
00155212,포스코DX,022100,Y,사업보고서 (2021.12),20220311000948,포스코DX,20220311,정연,2022,2022
00155212,포스코DX,022100,Y,분기보고서 (2023.09),20231114001646,포스코DX,20231114,,2023,2023
00155212,포스코DX,022100,Y,[기재정정]반기보고서 (2023.06),20230921000141,포스코DX,20230921,,2023,2023
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2023.03),20230921000138,포스코DX,20230921,,2023,2023
00155212,포스코DX,022100,Y,[기재정정]반기보고서 (2023.06),20230831000755,포스코DX,20230831,정,2023,2023
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2023.03),20230831000743,포스코DX,20230831,정,2023,2023
00155212,포스코DX,022100,Y,반기보고서 (2023.06),20230814002111,포스코DX,20230814,정,2023,2023
00155212,포스코DX,022100,Y,분기보고서 (2023.03),20230515000277,포스코DX,20230515,정,2023,2023
00155212,포스코DX,022100,Y,사업보고서 (2022.12),20230310000806,포스코DX,20230310,연,2023,2023
00155212,포스코DX,022100,Y,분기보고서 (2024.09),20241114000644,포스코DX,20241114,,2024,2024
00155212,포스코DX,022100,Y,반기보고서 (2024.06),20240814002100,포스코DX,20240814,,2024,2024
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240618000197,포스코DX,20240618,연,2024,2024
00155212,포스코DX,022100,Y,[기재정정]분기보고서 (2024.03),20240516001435,포스코DX,20240516,,2024,2024
00155212,포스코DX,022100,Y,분기보고서 (2024.03),20240516000118,포스코DX,20240516,정,2024,2024
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240313001522,포스코DX,20240313,정연,2024,2024
00155212,포스코DX,022100,Y,사업보고서 (2023.12),20240313000904,포스코DX,20240313,정연,2024,2024
00108612,DS단석,017860,Y,분기보고서 (2024.09),20241114000703,DS단석,20241114,,2024,2024
00108612,DS단석,017860,Y,반기보고서 (2024.06),20240814001305,DS단석,20240814,,2024,2024
00108612,DS단석,017860,Y,분기보고서 (2024.03),20240516000387,DS단석,20240516,,2024,2024
00108612,DS단석,017860,Y,사업보고서 (2023.12),20240320000618,DS단석,20240320,연,2024,2024
00367710,동인기연,111380,Y,분기보고서 (2024.09),20241113000769,동인기연,20241113,,2024,2024
00367710,동인기연,111380,Y,반기보고서 (2024.06),20240814000939,동인기연,20240814,,2024,2024
00367710,동인기연,111380,Y,[기재정정]분기보고서 (2024.03),20240514001708,동인기연,20240516,,2024,2024
00367710,동인기연,111380,Y,분기보고서 (2024.03),20240514001674,동인기연,20240514,정,2024,2024
00367710,동인기연,111380,Y,사업보고서 (2023.12),20240321000011,동인기연,20240321,연,2024,2024
01311408,에코프로머티,450080,Y,분기보고서 (2023.09),20231114001664,에코프로머티,20231114,,2023,2023
01311408,에코프로머티,450080,Y,반기보고서 (2023.06),20230814002576,에코프로머티,20230814,,2023,2023
01311408,에코프로머티,450080,Y,[기재정정]분기보고서 (2023.03),20230731000396,에코프로머티,20230731,,2023,2023
01311408,에코프로머티,450080,Y,분기보고서 (2023.03),20230515001245,에코프로머티,20230515,정,2023,2023
01311408,에코프로머티,450080,Y,사업보고서 (2022.12),20230321001386,에코프로머티,20230321,,2023,2023
01311408,에코프로머티,450080,Y,분기보고서 (2024.09),20241114002112,에코프로머티,20241114,정,2024,2024
01311408,에코프로머티,450080,Y,반기보고서 (2024.06),20240814001351,에코프로머티,20240814,정,2024,2024
01311408,에코프로머티,450080,Y,분기보고서 (2024.03),20240514001494,에코프로머티,20240514,,2024,2024
01311408,에코프로머티,450080,Y,[기재정정]사업보고서 (2023.12),20240417000528,에코프로머티,20240417,,2024,2024
01311408,에코프로머티,450080,Y,사업보고서 (2023.12),20240319000789,에코프로머티,20240319,정,2024,2024
01105153,두산로보틱스,454910,Y,분기보고서 (2023.09),20231127000406,두산로보틱스,20231127,,2023,2023
01105153,두산로보틱스,454910,Y,분기보고서 (2024.09),20241112000379,두산로보틱스,20241112,,2024,2024
01105153,두산로보틱스,454910,Y,반기보고서 (2024.06),20240814004448,두산로보틱스,20240814,,2024,2024
01105153,두산로보틱스,454910,Y,분기보고서 (2024.03),20240530001277,두산로보틱스,20240530,,2024,2024
01105153,두산로보틱스,454910,Y,사업보고서 (2023.12),20240320001860,두산로보틱스,20240320,연,2024,2024
01784394,STX그린로지스,465770,Y,[기재정정]분기보고서 (2023.09),20231115000113,STX그린로지스,20231115,정,2023,2023
01784394,STX그린로지스,465770,Y,분기보고서 (2023.09),20231114001578,STX그린로지스,20231114,정,2023,2023
01784394,STX그린로지스,465770,Y,분기보고서 (2024.09),20241114002543,STX그린로지스,20241114,,2024,2024
01784394,STX그린로지스,465770,Y,반기보고서 (2024.06),20240814004315,STX그린로지스,20240814,,2024,2024
01784394,STX그린로지스,465770,Y,분기보고서 (2024.03),20240516001659,STX그린로지스,20240516,,2024,2024
01784394,STX그린로지스,465770,Y,사업보고서 (2023.12),20240321001878,STX그린로지스,20240321,연,2024,2024
01784394,STX그린로지스,465770,Y,[기재정정]분기보고서 (2023.09),20240220001620,STX그린로지스,20240220,,2024,2024
00220613,넥스틸,092790,Y,분기보고서 (2023.09),20231123000335,넥스틸,20231123,,2023,2023
00220613,넥스틸,092790,Y,분기보고서 (2024.09),20241128001094,넥스틸,20241128,,2024,2024
00220613,넥스틸,092790,Y,반기보고서 (2024.06),20240828000976,넥스틸,20240828,,2024,2024
00220613,넥스틸,092790,Y,[기재정정]분기보고서 (2024.03),20240529000375,넥스틸,20240529,,2024,2024
00220613,넥스틸,092790,Y,분기보고서 (2024.03),20240528000367,넥스틸,20240528,정,2024,2024
00220613,넥스틸,092790,Y,사업보고서 (2023.12),20240321001898,넥스틸,20240321,연,2024,2024
00158325,NICE평가정보,030190,Y,분기보고서 (2018.09),20181114000938,NICE평가정보,20181114,,2018,2018
00158325,NICE평가정보,030190,Y,반기보고서 (2018.06),20180814000662,NICE평가정보,20180814,,2018,2018
00158325,NICE평가정보,030190,Y,분기보고서 (2018.03),20180515002311,NICE평가정보,20180515,,2018,2018
00158325,NICE평가정보,030190,Y,사업보고서 (2017.12),20180330000091,NICE평가정보,20180330,연,2018,2018
00158325,NICE평가정보,030190,Y,분기보고서 (2019.09),20191114000568,NICE평가정보,20191114,,2019,2019
