rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,cn,mendng,tot_reqre_time,adt_cntrct_dtls_mendng,adt_cntrct_dtls_time,real_exc_dtls_mendng,real_exc_dtls_time,stlm_dt,query_year,endpoint_label
20210309000400,Y,00398701,엘앤에프,제20기(전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,100백만원,"1,200시간",100백만원,"1,380시간",2020-12-31,2020,audit_contract
20210309000400,Y,00398701,엘앤에프,제19기(전전기),경신회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,80백만원,"1,000시간",80백만원,"1,070시간",2020-12-31,2020,audit_contract
20220315000434,Y,00398701,엘앤에프,제22기(당기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,130백만원,"1,500시간",130백만원,"1,616시간",2021-12-31,2021,audit_contract
20220315000434,Y,00398701,엘앤에프,제21기(전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,120백만원,"1,500시간",120백만원,"1,571시간",2021-12-31,2021,audit_contract
20220315000434,Y,00398701,엘앤에프,제20기(전전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,100백만원,"1,200시간",100백만원,"1,380시간",2021-12-31,2021,audit_contract
20230828000596,Y,00398701,엘앤에프,제23기(당기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,250백만원,"3,430시간",250백만원,"3,191시간",2022-12-31,2022,audit_contract
20230828000596,Y,00398701,엘앤에프,제22기(전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,130백만원,"1,500시간",130백만원,"1,616시간",2022-12-31,2022,audit_contract
20230828000596,Y,00398701,엘앤에프,제21기(전전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,120백만원,"1,500시간",120백만원,"1,571시간",2022-12-31,2022,audit_contract
20240328001260,Y,00398701,엘앤에프,제24기(당기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,380백만원,"5,016시간",380백만원,"4,928시간",2023-12-31,2023,audit_contract
20240328001260,Y,00398701,엘앤에프,제23기(전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,250백만원,"3,430시간",250백만원,"3,191시간",2023-12-31,2023,audit_contract
20240328001260,Y,00398701,엘앤에프,제22기(전전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,130백만원,"1,500시간",130백만원,"1,616시간",2023-12-31,2023,audit_contract
20250311001260,Y,00398701,엘앤에프,제25기(당기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,410백만원,"5,269시간",410백만원,"5,275시간",2024-12-31,2024,audit_contract
20250311001260,Y,00398701,엘앤에프,제24기(전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,380백만원,"5,016시간",380백만원,"4,928시간",2024-12-31,2024,audit_contract
20250311001260,Y,00398701,엘앤에프,제23기(전전기),선일회계법인,"반기검토, 중간감사, 재고실사, 기말감사",-,-,250백만원,"3,430시간",250백만원,"3,191시간",2024-12-31,2024,audit_contract
20190329003165,Y,00155212,포스코DX,제30기(당기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",405백만원,"4,389시간",-,-,-,-,2018-12-31,2018,audit_contract
20190329003165,Y,00155212,포스코DX,제29기(전기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",405백만원,"4,236시간",-,-,-,-,2018-12-31,2018,audit_contract
20190329003165,Y,00155212,포스코DX,제28기(전전기),삼일회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",425백만원,"4,012시간",-,-,-,-,2018-12-31,2018,audit_contract
20200325000784,Y,00155212,포스코DX,제31기(당기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",390백만원,"4,431시간",-,-,-,-,2019-12-31,2019,audit_contract
20200325000784,Y,00155212,포스코DX,제30기(전기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",405백만원,"4,389시간",-,-,-,-,2019-12-31,2019,audit_contract
20200325000784,Y,00155212,포스코DX,제29기(전전기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",405백만원,"4,236시간",-,-,-,-,2019-12-31,2019,audit_contract
20210305000693,Y,00155212,포스코DX,제32기(당기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,520백만원,"5,706시간",520백만원,"5,971시간",2020-12-31,2020,audit_contract
20210305000693,Y,00155212,포스코DX,제31기(전기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,390백만원,"4,500시간",390백만원,"4,431시간",2020-12-31,2020,audit_contract
20210305000693,Y,00155212,포스코DX,제30기(전전기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,405백만원,"4,500시간",405백만원,"4,389시간",2020-12-31,2020,audit_contract
20220504000292,Y,00155212,포스코DX,제33기(당기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,539백만원,"5,982시간",539백만원,"5,976시간",2021-12-31,2021,audit_contract
20220504000292,Y,00155212,포스코DX,제32기(전기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,520백만원,"5,706시간",520백만원,"5,971시간",2021-12-31,2021,audit_contract
20220504000292,Y,00155212,포스코DX,제31기(전전기),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,390백만원,"4,500시간",390백만원,"4,431시간",2021-12-31,2021,audit_contract
20230310000806,Y,00155212,포스코DX,제34기(당기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,555백만원,"6,203시간",555백만원,"5,790시간",2022-12-31,2022,audit_contract
20230310000806,Y,00155212,포스코DX,제33기(전기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,539백만원,"5,982시간",539백만원,"5,976시간",2022-12-31,2022,audit_contract
20230310000806,Y,00155212,포스코DX,제32기(전전기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,520백만원,"5,706시간",520백만원,"5,971시간",2022-12-31,2022,audit_contract
20240618000197,Y,00155212,포스코DX,제35기(당기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,599백만원,"5,842시간",599백만원,"5,642시간",2023-12-31,2023,audit_contract
20240618000197,Y,00155212,포스코DX,제34기(전기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,555백만원,"6,203시간",555백만원,"5,790시간",2023-12-31,2023,audit_contract
20240618000197,Y,00155212,포스코DX,제33기(전전기),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,539백만원,"5,982시간",539백만원,"5,976시간",2023-12-31,2023,audit_contract
20250314001261,Y,00155212,포스코DX,제36기(2024년),한영회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,661,"5,800",661,"5,706",2024-12-31,2024,audit_contract
20250314001261,Y,00155212,포스코DX,제35기(2023년),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,599,"5,842",599,"5,642",2024-12-31,2024,audit_contract
20250314001261,Y,00155212,포스코DX,제34기(2022년),삼정회계법인,"분기,반기,년도 회계감사(별도/연결), 내부통제",-,-,555,"6,203",555,"5,790",2024-12-31,2024,audit_contract
